date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:43	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Mar%202023%2018:38:42%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
00:08:44	53235/53235	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:58:31%20GMT	https://demo.dashboardpack.com/admindek-html/	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/index.html	(from )
00:08:45	101022/101022	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22632d996b-18a9e%22	https://demo.dashboardpack.com/admindek-html/files/assets/images/favicon.ico	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/assets/images/favicon.ico	(from https://demo.dashboardpack.com/admindek-html/)
00:08:46	1230/1230	---MC-	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2018:38:45%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300,400,600,700,800	/home/infinitylabs/websites/admindek/fonts.googleapis.com/css0f7c.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:47	412/412	---MC-	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2018:38:46%20GMT	https://fonts.googleapis.com/css?family=Quicksand:500,700	/home/infinitylabs/websites/admindek/fonts.googleapis.com/css1180.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:48	155764/155764	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9eb8-26074%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:49	4825/4825	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9e79-12d9%22	https://demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:50	9786/9786	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98f2-3018%22	https://demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:51	34684/34684	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98e0-877c%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	(from https://demo.dashboardpack.com/admindek-html/)
00:08:52	11512/11512	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9ec5-2cf8%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	/home/infinitylabs/websites/admindek/demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	(from https://demo.dashboardpack.com/admindek-html/)
